code,declared_name,rows,non_null_rows,unique_entities,unique_countries_iso3,year_min,year_max,status
SI.POV.GINI,gini,9044,2212,266,261,1990,2023,OK
SE.PRM.ENRR,enrol_primary,9044,6547,266,261,1990,2023,OK
SE.SEC.ENRR,enrol_secondary,9044,5714,266,261,1990,2023,OK
SE.TER.ENRR,enrol_tertiary,9044,5162,266,261,1990,2023,OK
SE.SEC.ENRR.FE,enrol_secondary_female,9044,5509,266,261,1990,2023,OK
SE.SEC.ENRR.MA,enrol_secondary_male,9044,5505,266,261,1990,2023,OK
SE.XPD.TOTL.GD.ZS,edu_expenditure_gdp,9044,5106,266,261,1990,2023,OK
NY.GDP.PCAP.PP.KD,gdp_per_capita_ppp,9044,8229,266,261,1990,2023,OK
NY.GDP.PCAP.CD,gdp_per_capita_usd,9044,8646,266,261,1990,2023,OK
SL.UEM.TOTL.ZS,unemployment_rate,9044,7751,266,261,1990,2023,OK
FP.CPI.TOTL.ZG,inflation_cpi,9044,5909,266,261,1990,2023,OK
SP.POP.TOTL,population,9044,9010,266,261,1990,2023,OK
SP.URB.TOTL.IN.ZS,urban_population_pct,9044,9010,266,261,1990,2023,OK
NE.TRD.GNFS.ZS,trade_openness,9044,7107,266,261,1990,2023,OK
NE.CON.GOVT.ZS,gov_expenditure_gdp,9044,6933,266,261,1990,2023,OK
NV.AGR.TOTL.ZS,agri_value_added_gdp,9044,7806,266,261,1990,2023,OK
NV.IND.MANF.ZS,manu_value_added_gdp,9044,7179,266,261,1990,2023,OK
NV.SRV.TOTL.ZS,services_value_added_gdp,9044,7604,266,261,1990,2023,OK
