variable,transform,n_observed,skewness
gini,raw,2212,0.7580094374191498
enrol_primary,raw,5111,-1.0592061527062282
enrol_secondary,raw,4286,-0.44876303376776294
enrol_tertiary,raw,3760,0.6965002955353751
enrol_secondary_female,raw,4083,-0.49548120095132103
enrol_secondary_male,raw,4079,-0.39972694772508255
edu_expenditure_gdp,raw,4011,1.3217326696169973
gdp_per_capita_ppp,raw,6597,1.8657185699544347
gdp_per_capita_ppp,log,6597,-0.1595814148587781
gdp_per_capita_usd,raw,7014,3.533190519279955
gdp_per_capita_usd,log,7014,-0.006702181737628836
unemployment_rate,raw,6167,1.3702985462310264
inflation_cpi,raw,5841,52.450385988637954
population,raw,7378,9.031768502429848
population,log,7378,-0.4040876520586475
urban_population_pct,raw,7378,-0.029025985043050068
trade_openness,raw,5784,3.210909109524714
gov_expenditure_gdp,raw,5530,4.0675744977422825
agri_value_added_gdp,raw,6218,1.2486493734803559
manu_value_added_gdp,raw,5837,0.9489345444650902
services_value_added_gdp,raw,6074,0.1213489193285775
mean_years_schooling,raw,6081,-0.22983027536527928
