,gini,enrol_primary,enrol_secondary,enrol_tertiary,enrol_secondary_female,enrol_secondary_male,edu_expenditure_gdp,gdp_per_capita_ppp,gdp_per_capita_usd,unemployment_rate,inflation_cpi,population,urban_population_pct,trade_openness,gov_expenditure_gdp,agri_value_added_gdp,manu_value_added_gdp,services_value_added_gdp,mean_years_schooling
gini,1.0,0.17502192818814125,-0.40398156784416694,-0.40091969661798094,-0.37061326757722723,-0.43182219591787746,-0.22255943971570327,-0.4343658638174516,-0.39113203905780214,0.055686635253490595,0.03492912063618367,0.028646921761501364,-0.11864531121873656,-0.30310793773267175,-0.3127860281261311,0.19246006665659196,-0.00936598729943675,-0.11711633874221766,-0.5198249691890748
enrol_primary,0.17502192818814125,1.0,0.34544177954861827,0.11608521137595865,0.3479853868518141,0.3231468218138467,0.17777848726631,0.08930734103027621,0.08194661518083807,0.1548061642030292,-0.027393454693278425,0.008746055153886864,0.16992463363355542,0.11771085445167738,0.1493329906266532,-0.2927944626895868,0.023655287235553553,0.21375021551113638,0.2339917662911392
enrol_secondary,-0.40398156784416694,0.34544177954861827,1.0,0.7536414790939735,0.9928020397347261,0.9919217417399735,0.3040151997938728,0.5643447345281971,0.5160484738283451,0.1238823938808544,-0.037002448758629666,-0.060050319822530646,0.6269926808412731,0.2946773818072253,0.2237137126739865,-0.7236304110397836,0.05251002388706902,0.5255863758045328,0.8587755438399066
enrol_tertiary,-0.40091969661798094,0.11608521137595865,0.7536414790939735,1.0,0.7364648230778086,0.7602508090434744,0.2793447425808586,0.5280349401790307,0.46126217867917846,0.01921248546193648,-0.017853039954610787,-0.033435822167641086,0.6233515889264188,0.24434037472720246,0.19838249498594618,-0.6052234794197177,0.18561719617856076,0.47310218185382774,0.7803852090846038
enrol_secondary_female,-0.37061326757722723,0.3479853868518141,0.9928020397347261,0.7364648230778086,1.0,0.9697027939176527,0.31878072004709457,0.5651340869730461,0.5002817717818454,0.13063790611291906,-0.04438899649251896,-0.07222008933320664,0.6319459455784707,0.29863050755878723,0.2644383368678798,-0.7430892741972848,0.058603184669579096,0.5506976054912901,0.8484491936601166
enrol_secondary_male,-0.43182219591787746,0.3231468218138467,0.9919217417399735,0.7602508090434744,0.9697027939176527,1.0,0.2761952781992894,0.561389789211461,0.5328818077595109,0.11491915937772726,-0.03629347882371772,-0.05048927234410374,0.6093221487519106,0.2869840656040782,0.23840312524368382,-0.7208065637932398,0.06097433470888617,0.5256219746917845,0.8546696187596869
edu_expenditure_gdp,-0.22255943971570327,0.17777848726631,0.3040151997938728,0.2793447425808586,0.31878072004709457,0.2761952781992894,1.0,0.10888044702007522,0.04110612179071169,0.14937124731705556,-0.06625292789584991,-0.09629411502274246,0.14423652835342465,0.1028013775587691,0.6599865083511403,-0.21131910889079167,-0.04494128158580128,0.21382657936683988,0.2800888181682486
gdp_per_capita_ppp,-0.4343658638174516,0.08930734103027621,0.5643447345281971,0.5280349401790307,0.5651340869730461,0.561389789211461,0.10888044702007522,1.0,0.8999275095946497,-0.13044627660756725,-0.03659777887542866,-0.06668435445878085,0.6671432564701397,0.3999603186661728,0.12555408484270406,-0.6038347416208474,-0.002585014652846092,0.4558487444106279,0.5893428748527595
gdp_per_capita_usd,-0.39113203905780214,0.08194661518083807,0.5160484738283451,0.46126217867917846,0.5002817717818454,0.5328818077595109,0.04110612179071169,0.8999275095946497,1.0,-0.13290185340256525,-0.03538090003099018,-0.05738955083279456,0.4477351261500489,0.33043943856194125,0.12863167617879961,-0.4891691318270683,-0.026012001632857384,0.48709171316320776,0.5472618838720872
unemployment_rate,0.055686635253490595,0.1548061642030292,0.1238823938808544,0.01921248546193648,0.13063790611291906,0.11491915937772726,0.14937124731705556,-0.13044627660756725,-0.13290185340256525,1.0,-0.006191953792030767,-0.0840146107515856,0.10720696936278366,-0.01138061840666431,0.15208122651250658,-0.2642368885095399,-0.02773346540560419,0.10337957294970779,0.05649136397836386
