,gini,enrol_primary,enrol_secondary,enrol_tertiary,enrol_secondary_female,enrol_secondary_male,edu_expenditure_gdp,gdp_per_capita_ppp,gdp_per_capita_usd,unemployment_rate,inflation_cpi,population,urban_population_pct,trade_openness,gov_expenditure_gdp,agri_value_added_gdp,manu_value_added_gdp,services_value_added_gdp,mean_years_schooling
gini,1.0,0.2609476875079197,-0.44365288717292906,-0.4117347697055586,-0.4104784512574656,-0.4660001455311085,-0.28948758929982726,-0.4652000429711307,-0.4077047954441848,0.015050789868269366,0.19799165487299322,0.13245007340572063,-0.13066310042189733,-0.3862441868651466,-0.4415903652952847,0.3681076975227601,-0.01961231956371508,-0.14058809783805776,-0.5611349362805096
enrol_primary,0.2609476875079197,1.0,0.19209563038893127,0.07125061607908156,0.1983582662847381,0.1698993998233123,0.14392544601510798,0.09978718610938564,0.13421166972902723,0.13743933924158452,-0.029851853931232995,-0.1057690008811751,0.07742912503508384,0.08382696807880775,0.09476366910114459,-0.13303428900881312,-0.03094933402446333,0.1489573152789189,0.0670216895850638
enrol_secondary,-0.44365288717292906,0.19209563038893127,1.0,0.8256923411029693,0.9899589991569144,0.9920710270027814,0.3770036352341026,0.7812465154002863,0.8059500806409093,0.15497116562808935,-0.31418028696602596,-0.15907940629443904,0.6022517224575259,0.319404296442918,0.4182881656676306,-0.7191957242412995,0.03243593427064048,0.5560978765034446,0.8429655939114191
enrol_tertiary,-0.4117347697055586,0.07125061607908156,0.8256923411029693,1.0,0.8036396969426863,0.8264023966057121,0.3580347913339606,0.7602652667772642,0.7611590434634962,0.15009551320626643,-0.24522544525911266,0.023427313232259238,0.6735800882262561,0.3139128051743919,0.31261777915509975,-0.6664016736681244,0.22141629895931858,0.5389079904953228,0.832967760252506
enrol_secondary_female,-0.4104784512574656,0.1983582662847381,0.9899589991569144,0.8036396969426863,1.0,0.9658779952688964,0.3894720374947891,0.7861426376295764,0.8151186685913903,0.15082023421316818,-0.3245035469061146,-0.18301442352998437,0.6080809380908808,0.32377737965182796,0.4323387789782957,-0.7285873353563467,0.02646204741535152,0.5777460161398112,0.8186399578920033
enrol_secondary_male,-0.4660001455311085,0.1698993998233123,0.9920710270027814,0.8264023966057121,0.9658779952688964,1.0,0.35582129877299634,0.7734233205419504,0.7994369793557479,0.15346658732995594,-0.3151346533426024,-0.1364234879177997,0.5868352899234713,0.3157132508207568,0.4033085982504118,-0.7135404385177654,0.0522403601035952,0.5499576834827501,0.8454607536434159
edu_expenditure_gdp,-0.28948758929982726,0.14392544601510798,0.3770036352341026,0.3580347913339606,0.3894720374947891,0.35582129877299634,1.0,0.2750656917450567,0.26839641535720915,0.17262800632796604,-0.13886170545467388,-0.11492490605949,0.2029847020147943,0.255263440571776,0.6577589676078183,-0.25435675823732895,0.0038965532529594425,0.28269730901486245,0.34187769926941963
gdp_per_capita_ppp,-0.4652000429711307,0.09978718610938564,0.7812465154002863,0.7602652667772642,0.7861426376295764,0.7734233205419504,0.2750656917450567,1.0,0.9534994818137061,0.12597400210350534,-0.3447494448510082,-0.15395026485174923,0.7779914382358373,0.36118628886565896,0.34344370965767584,-0.88232878875538,0.095112050890816,0.5602162980961253,0.7545205912551106
gdp_per_capita_usd,-0.4077047954441848,0.13421166972902723,0.8059500806409093,0.7611590434634962,0.8151186685913903,0.7994369793557479,0.26839641535720915,0.9534994818137061,1.0,0.11587967031927418,-0.41779401572504393,-0.2656536060919173,0.7070079269453523,0.3336558837142089,0.36189317472941984,-0.8878259237515249,0.0060010309099864795,0.6525373183893334,0.7647612436907362
unemployment_rate,0.015050789868269366,0.13743933924158452,0.15497116562808935,0.15009551320626643,0.15082023421316818,0.15346658732995594,0.17262800632796604,0.12597400210350534,0.11587967031927418,1.0,0.030681072068864255,-0.16861292148741755,0.17535183989346295,0.02868324045425857,0.22630794603921048,-0.2459141893991641,-0.04024731828111461,0.18204706505373985,0.1248856962185724
