variable,vif,flag
enrol_secondary,40587.888275497324,concern
enrol_secondary_female,10906.354076086694,concern
enrol_secondary_male,9652.911125644101,concern
gdp_per_capita_ppp,14.387020207410698,concern
gdp_per_capita_usd,10.516867347232168,concern
agri_value_added_gdp,5.437449007633007,watch
mean_years_schooling,4.83912010603407,ok
enrol_tertiary,3.8013647823230565,ok
urban_population_pct,2.9508723240092456,ok
services_value_added_gdp,2.906478147971671,ok
edu_expenditure_gdp,2.0821695397723086,ok
gov_expenditure_gdp,1.9225259746154333,ok
trade_openness,1.6228888731931086,ok
manu_value_added_gdp,1.4070931858641327,ok
unemployment_rate,1.2982289961975253,ok
enrol_primary,1.1462098934665688,ok
population,1.1199549812266638,ok
inflation_cpi,1.118152283066512,ok
