iso3,country_name,region_name,income_level_name,cluster_kmeans_k3,cluster_kmeans_k2,cluster_kmeans_k4,cluster_ward_k3
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,0,0,0
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0,0,0,0
ALB,Albania,Europe & Central Asia,Upper middle income,1,1,1,1
AND,Andorra,Europe & Central Asia,High income,2,1,2,2
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2,1,3,2
ARG,Argentina,Latin America & Caribbean ,Upper middle income,2,1,3,2
ARM,Armenia,Europe & Central Asia,Upper middle income,1,1,1,1
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,2,1,2,2
AUS,Australia,East Asia & Pacific,High income,2,1,3,2
AUT,Austria,Europe & Central Asia,High income,2,1,3,2
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,1,1,1,2
BDI,Burundi,Sub-Saharan Africa ,Low income,0,0,0,0
BEL,Belgium,Europe & Central Asia,High income,2,1,3,2
BEN,Benin,Sub-Saharan Africa ,Lower middle income,0,0,0,0
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,0,0,0,0
BGD,Bangladesh,South Asia,Lower middle income,0,0,0,0
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,2,1,3,2
BHS,"Bahamas, The",Latin America & Caribbean ,High income,2,1,2,2
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1,1,1,1
BLR,Belarus,Europe & Central Asia,Upper middle income,1,1,3,1
BLZ,Belize,Latin America & Caribbean ,Upper middle income,1,1,2,1
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,1,1,1,1
BRA,Brazil,Latin America & Caribbean ,Upper middle income,2,1,3,2
BRB,Barbados,Latin America & Caribbean ,High income,2,1,2,2
BRN,Brunei Darussalam,East Asia & Pacific,High income,2,1,3,2
BTN,Bhutan,South Asia,Lower middle income,0,0,0,0
CAF,Central African Republic,Sub-Saharan Africa ,Low income,0,0,0,0
CAN,Canada,North America,High income,2,1,3,2
CHE,Switzerland,Europe & Central Asia,High income,2,1,3,2
CHL,Chile,Latin America & Caribbean ,High income,2,1,3,2
CHN,China,East Asia & Pacific,Upper middle income,1,1,1,1
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,0,0,0,0
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,0,0,0,0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,0,0,0,0
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,1,0,1,0
COL,Colombia,Latin America & Caribbean ,Upper middle income,1,1,1,2
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,1,1,2,2
CRI,Costa Rica,Latin America & Caribbean ,High income,2,1,3,2
CYP,Cyprus,Europe & Central Asia,High income,2,1,2,2
CZE,Czechia,Europe & Central Asia,High income,2,1,3,2
DEU,Germany,Europe & Central Asia,High income,2,1,3,2
DMA,Dominica,Latin America & Caribbean ,Upper middle income,1,1,2,1
DNK,Denmark,Europe & Central Asia,High income,2,1,3,2
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,1,1,1,2
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,1,1,1,1
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,1,1,1,2
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,0,1,1
ESP,Spain,Europe & Central Asia,High income,2,1,3,2
EST,Estonia,Europe & Central Asia,High income,2,1,3,2
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,0,0,0,0
FIN,Finland,Europe & Central Asia,High income,2,1,3,2
FJI,Fiji,East Asia & Pacific,Upper middle income,1,1,1,1
FRA,France,Europe & Central Asia,High income,2,1,3,2
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,1,1,1,1
GBR,United Kingdom,Europe & Central Asia,High income,2,1,3,2
GEO,Georgia,Europe & Central Asia,Upper middle income,2,1,2,2
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,0,0,0,0
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,0,0,0,0
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,0,0,0,0
GRC,Greece,Europe & Central Asia,High income,2,1,2,2
GRD,Grenada,Latin America & Caribbean ,Upper middle income,1,1,2,2
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,1,0,1,0
