spec,kind,variable,value,std_error,tstat,pvalue,ci_low,ci_high
A,coef,Intercept,61.634717645402624,7.8778079305005715,7.823841122956425,9.103828801926284e-15,46.18306634786238,77.08636894294287
A,coef,mean_years_schooling,-1.3277605460878745,0.2747529355136907,-4.83256181996903,1.4741163407716584e-06,-1.8666650979615262,-0.7888559942142228
A,coef,enrol_secondary,-0.039583963766118384,0.03661812484822374,-1.0809937409462544,0.2798592186680502,-0.11140730616240785,0.03223937863017109
A,coef,log_gdp_per_capita_ppp,-2.262924200599036,0.9528260075088848,-2.3749605728283343,0.017665539008154374,-4.1318115034047596,-0.3940368977933122
A,coef,log_population,0.04833445056054894,0.3373880418583575,0.14326071041024252,0.8861019266108907,-0.613423543636194,0.7100924447572919
A,coef,urban_population_pct,0.20480111549277222,0.04024071880252726,5.08940003029742,4.0064112560855847e-07,0.12587236267415491,0.2837298683113895
A,fit,n_obs,1642.0,,,,,
A,fit,n_countries,153.0,,,,,
A,fit,rsquared,0.36035754728977465,,,,,
A,fit,rsquared_within,0.07655542063472887,,,,,
A,fit,rsquared_between,0.07769927968508372,,,,,
A,fit,rsquared_overall,0.36035754728977465,,,,,
A,fit,f_statistic,184.33577848628212,,,,,
A,fit,f_pvalue,0.0,,,,,
B,coef,Intercept,107.43954194502558,13.592611403281968,7.9042605395960965,5.10702591327572e-15,80.77712758510259,134.10195630494857
B,coef,mean_years_schooling,-1.2041445301316789,0.2337007681180642,-5.152505658532335,2.909635876680028e-07,-1.6625573053465734,-0.7457317549167845
B,coef,enrol_secondary,-0.03195562936468609,0.029596305723253814,-1.079716828968237,0.28044083906726947,-0.09000988717461814,0.026098628445245943
B,coef,log_gdp_per_capita_ppp,-5.797058260385243,1.2688123823165003,-4.5688853144713315,5.302518974792392e-06,-8.285881083213482,-3.308235437557003
B,coef,log_population,-0.48026360137971935,0.41710042296091854,-1.1514339831410794,0.24973614266701927,-1.298421641563078,0.33789443880363923
B,coef,urban_population_pct,0.162629195759771,0.04442129832953727,3.661063541036422,0.0002598331082861449,0.07549516188443293,0.24976322963510905
B,coef,agri_value_added_gdp,-0.5034741792999095,0.13460084883263046,-3.74049780269926,0.00019052980547695775,-0.7674987657679982,-0.23944959283182066
B,coef,manu_value_added_gdp,0.04373767114813488,0.09339575973849547,0.46830467754209265,0.6396343582734707,-0.13946159584527926,0.226936938141549
B,coef,services_value_added_gdp,0.15727762289357208,0.08404317650914488,1.871390747307825,0.06148429678343881,-0.0075762031835805155,0.32213144897072465
B,coef,trade_openness,-0.023362275434534098,0.012448938413305341,-1.876648004745903,0.06075919342319125,-0.04778133255821282,0.0010567816891446265
B,coef,gov_expenditure_gdp,-0.3008626562105097,0.10892566333882374,-2.7620915676652573,0.005812895206815716,-0.5145244084818915,-0.08720090393912794
B,fit,n_obs,1520.0,,,,,
B,fit,n_countries,134.0,,,,,
B,fit,rsquared,0.5060697074044963,,,,,
B,fit,rsquared_within,-0.042499792544949955,,,,,
B,fit,rsquared_between,0.25849268953919347,,,,,
B,fit,rsquared_overall,0.5060697074044962,,,,,
B,fit,f_statistic,154.6086967981879,,,,,
B,fit,f_pvalue,0.0,,,,,
