estimator,spec,kind,variable,value,std_error,tstat,pvalue,ci_low,ci_high
FE,A,coef,Intercept,104.17734120425902,51.475954918962394,2.0238058986620726,0.04317308982458523,3.202095291406721,205.15258711711132
FE,A,coef,mean_years_schooling,-0.3841429959255975,0.42484608865664003,-0.9041933212572454,0.36604299468547574,-1.217521188612895,0.44923519676169993
FE,A,coef,enrol_secondary,0.01544983986412483,0.02249234358305336,0.6868932891353022,0.4922597367812942,-0.02867114687678435,0.059570826605034016
FE,A,coef,log_gdp_per_capita_ppp,0.19276239548663296,1.622923468501351,0.1187747908190857,0.905470221968852,-2.9907646821100533,3.376289473083319
FE,A,coef,log_population,-3.9586188569511123,2.8991125041904278,-1.365458860678658,0.1723205137008994,-9.645518662899466,1.7282809489972424
FE,A,coef,urban_population_pct,-0.04230840796882854,0.10043608039559059,-0.4212471036522647,0.6736370417743014,-0.2393238481376107,0.15470703219995363
FE,A,fit,n_obs,1642.0,,,,,
FE,A,fit,n_countries,153.0,,,,,
FE,A,fit,n_time_periods,34.0,,,,,
FE,A,fit,rsquared,0.018299668306888894,,,,,
FE,A,fit,rsquared_within,0.11499658351197228,,,,,
FE,A,fit,rsquared_between,-0.8867399863877885,,,,,
FE,A,fit,rsquared_overall,-0.7068915028618148,,,,,
FE,A,fit,f_statistic,5.409556838490804,,,,,
FE,A,fit,f_pvalue,6.165768785704184e-05,,,,,
FE,A,fit,f_statistic_robust,0.6838814755055531,,,,,
FE,A,fit,f_pvalue_robust,0.6356910160821119,,,,,
FE,B,coef,Intercept,94.24998941320617,54.88947212653101,1.7170868248822184,0.08619386484249758,-13.428441640041868,201.9284204664542
FE,B,coef,mean_years_schooling,-0.2720639348933362,0.4226478025056715,-0.6437131182994507,0.5198713878381893,-1.1011856316187871,0.5570577618321149
FE,B,coef,enrol_secondary,0.012968430763422049,0.023453278398715596,0.5529474618837192,0.5803914106977373,-0.033040614745471854,0.058977476272315955
FE,B,coef,log_gdp_per_capita_ppp,-0.3302278601488197,1.7224664078469822,-0.19171802633967883,0.8479920664165541,-3.709245240956137,3.048789520658498
FE,B,coef,log_population,-3.6572910213066163,2.879115356286032,-1.2702829059355254,0.20420389786028648,-9.305343596334835,1.9907615537216024
FE,B,coef,urban_population_pct,-0.013638605607385024,0.1058433955093323,-0.1288564632847828,0.8974905203562971,-0.22127497601227544,0.19399776479750538
FE,B,coef,agri_value_added_gdp,0.06376966920057506,0.08379692403930433,0.7610025061381055,0.4467891640203565,-0.10061743379142363,0.22815677219257374
FE,B,coef,manu_value_added_gdp,-0.0497090419669286,0.08969549436122398,-0.5541977589948842,0.5795357781411767,-0.22566755880414366,0.12624947487028645
FE,B,coef,services_value_added_gdp,0.12656250770898164,0.06354252887856722,1.991776373125605,0.04659782715242833,0.001909098781541052,0.25121591663642223
FE,B,coef,trade_openness,0.024518137133540466,0.012098725149748003,2.026505836778277,0.04291026491545935,0.000783681482988869,0.048252592784092066
FE,B,coef,gov_expenditure_gdp,-0.1084128476159113,0.08933954299424945,-1.21349230119623,0.22515502856684622,-0.28367308328476826,0.06684738805294563
FE,B,fit,n_obs,1520.0,,,,,
FE,B,fit,n_countries,134.0,,,,,
FE,B,fit,n_time_periods,34.0,,,,,
FE,B,fit,rsquared,0.05763364626642087,,,,,
FE,B,fit,rsquared_within,0.08245913874476174,,,,,
FE,B,fit,rsquared_between,-0.8570099374134026,,,,,
FE,B,fit,rsquared_overall,-0.7934577982305873,,,,,
FE,B,fit,f_statistic,8.213577090177603,,,,,
FE,B,fit,f_pvalue,5.115907697472721e-13,,,,,
FE,B,fit,f_statistic_robust,1.317951378389846,,,,,
FE,B,fit,f_pvalue_robust,0.21517404691585662,,,,,
FE,C,coef,Intercept,71.56460994439804,57.76404396174346,1.2389127394161419,0.2155822716502389,-41.74728217035161,184.8765020591477
FE,C,coef,mean_years_schooling,-0.3112143562502368,0.8194516258637109,-0.37978368268195634,0.7041627069871752,-1.9186782361098431,1.2962495236093696
FE,C,coef,enrol_secondary,0.0032226606028850145,0.021846834697202,0.14751155705397231,0.8827491701086387,-0.03963282537897639,0.04607814658474642
FE,C,coef,log_gdp_per_capita_ppp,0.42126792740955826,1.6623873242123994,0.25341141698679953,0.7999869373485611,-2.8397269790211124,3.682262833840229
FE,C,coef,log_population,-2.5187156096002945,3.128503605163004,-0.8050863695485696,0.4209044305249934,-8.65569354043241,3.61826232123182
FE,C,coef,urban_population_pct,0.038687386464920946,0.10218150454969537,0.37861437483635374,0.7050307638160271,-0.1617552907708717,0.2391300637007136
FE,C,coef,mean_years_schooling:C(cluster_kmeans_k3)[T.1],-0.5335587079121166,0.8516145091467138,-0.626526089188784,0.5310704922776486,-2.204114381744399,1.1369969659201655
FE,C,coef,mean_years_schooling:C(cluster_kmeans_k3)[T.2],0.5717004239417866,0.8641785618891719,0.6615535829678512,0.50836454241113,-1.1235013184694251,2.2669021663529985
FE,C,fit,n_obs,1605.0,,,,,
FE,C,fit,n_countries,143.0,,,,,
FE,C,fit,n_time_periods,34.0,,,,,
FE,C,fit,rsquared,0.03141506868875077,,,,,
FE,C,fit,rsquared_within,0.06953029731549953,,,,,
FE,C,fit,rsquared_between,-1.0772169560367058,,,,,
FE,C,fit,rsquared_overall,-1.2242266116315492,,,,,
FE,C,fit,f_statistic,6.588732288176807,,,,,
FE,C,fit,f_pvalue,1.1090821583348287e-07,,,,,
FE,C,fit,f_statistic_robust,0.7352375732008257,,,,,
FE,C,fit,f_pvalue_robust,0.6421031021174554,,,,,
