estimator,spec,kind,variable,value,std_error,tstat,pvalue,ci_low,ci_high
RE,C,coef,Intercept,45.94912761958722,9.748784836587587,4.713318468896582,2.6538743296278255e-06,26.82704329713477,65.07121194203967
RE,C,coef,mean_years_schooling,-0.8008544937798633,0.5320731461479711,-1.5051586413969167,0.13248547125036847,-1.844507393797651,0.24279840623792437
RE,C,coef,C(cluster_kmeans_k3)[T.1],8.181649375965824,5.242631162329004,1.5605998443596747,0.1188207658859195,-2.1016871462774027,18.46498589820905
RE,C,coef,C(cluster_kmeans_k3)[T.2],-2.903520385375094,7.067608102185886,-0.41082079586120324,0.6812602930775169,-16.76651975949534,10.95947898874515
RE,C,coef,enrol_secondary,-0.010724094568106827,0.020244374971256415,-0.5297320654914378,0.5963729951371404,-0.0504331097679145,0.028984920631700842
RE,C,coef,log_gdp_per_capita_ppp,-0.6213940853771004,1.1606442735040952,-0.5353871979233161,0.5924583550916602,-2.897979120162371,1.65519094940817
RE,C,coef,log_population,-0.23366674630522027,0.32466947701936755,-0.7197065410965051,0.47181336651863015,-0.8705006923361827,0.40316719972574216
RE,C,coef,urban_population_pct,0.04581351538072019,0.06170487532983529,0.74246184172369,0.4579191971164758,-0.07521960299678432,0.1668466337582247
RE,C,coef,mean_years_schooling:C(cluster_kmeans_k3)[T.1],-0.38564072060386834,0.6582542171315945,-0.5858537789310861,0.5580584172812308,-1.676795757522934,0.9055143163151973
RE,C,coef,mean_years_schooling:C(cluster_kmeans_k3)[T.2],0.47570268848159863,0.5873538170879254,0.8099082267654474,0.41811628635734355,-0.6763823565506406,1.627787733513838
RE,C,fit,n_obs,1605.0,,,,,
RE,C,fit,n_countries,167.0,,,,,
RE,C,fit,n_time_periods,34.0,,,,,
RE,C,fit,rsquared,0.4968948980913849,,,,,
RE,C,fit,rsquared_within,0.1978936434233406,,,,,
RE,C,fit,rsquared_between,0.28493149258841655,,,,,
RE,C,fit,rsquared_overall,0.3023634671713141,,,,,
RE,C,fit,theta_mean,0.806630912064531,,,,,
