model,metric,value,split,n,rank_by_impurity
rf,best_n_estimators,500,,,
rf,best_min_samples_split,2,,,
rf,best_min_samples_leaf,1,,,
rf,best_max_features,sqrt,,,
rf,best_max_depth,20,,,
rf,tss_cv_rmse_best,3.941293377435745,tss_cv,1325.0,
rf,rkf_cv_rmse_mean,3.532358486043614,rkf_cv,1325.0,
rf,rkf_cv_rmse_std,0.16859491094718626,rkf_cv,1325.0,
rf,oob_r2,0.8433747695462915,oob,1325.0,
rf,oob_rmse,3.369442489461758,oob,1325.0,
rf,rmse,1.2474644973710605,train,1325.0,
rf,mae,0.7865130443052821,train,1325.0,
rf,r2,0.9785314844582798,train,1325.0,
rf,rmse,3.5540999520187206,test,317.0,
rf,mae,2.506919807460108,test,317.0,
rf,r2,0.7064957734979148,test,317.0,
rf,impurity_importance_mean_years_schooling,0.22495548991007275,,,1.0
rf,impurity_importance_log_gdp_per_capita_ppp,0.11230305490999562,,,2.0
rf,impurity_importance_enrol_secondary,0.10238194524389801,,,3.0
rf,impurity_importance_agri_value_added_gdp,0.0875631267814956,,,4.0
rf,impurity_importance_gov_expenditure_gdp,0.07742124286116572,,,5.0
rf,impurity_importance_log_population,0.07608918611663543,,,6.0
rf,impurity_importance_trade_openness,0.0746195660324448,,,7.0
rf,impurity_importance_urban_population_pct,0.06769742647622247,,,8.0
rf,impurity_importance_services_value_added_gdp,0.0510695650783877,,,9.0
rf,impurity_importance_unemployment_rate,0.04293518139244652,,,10.0
rf,impurity_importance_manu_value_added_gdp,0.03500436568339015,,,11.0
rf,impurity_importance_inflation_cpi,0.027399239145572664,,,12.0
rf,impurity_importance_cluster_kmeans_k3,0.020560610368272458,,,13.0
rf,perm_importance_mean_mean_years_schooling,1.2955881745696571,,,1.0
rf,perm_importance_mean_log_gdp_per_capita_ppp,0.7354591420888954,,,2.0
rf,perm_importance_mean_enrol_secondary,0.36397569288772913,,,3.0
rf,perm_importance_mean_agri_value_added_gdp,0.6884863571622197,,,4.0
rf,perm_importance_mean_gov_expenditure_gdp,0.42531226654169185,,,5.0
rf,perm_importance_mean_log_population,0.4651223034070088,,,6.0
rf,perm_importance_mean_trade_openness,0.8873477804815918,,,7.0
rf,perm_importance_mean_urban_population_pct,0.5269655661649809,,,8.0
rf,perm_importance_mean_services_value_added_gdp,0.4264099887787186,,,9.0
rf,perm_importance_mean_unemployment_rate,0.12625621112967372,,,10.0
rf,perm_importance_mean_manu_value_added_gdp,0.18029023001647032,,,11.0
rf,perm_importance_mean_inflation_cpi,0.028640969836500885,,,12.0
rf,perm_importance_mean_cluster_kmeans_k3,0.34812326001564087,,,13.0
rf,perm_importance_std_mean_years_schooling,0.10941794866324285,,,1.0
rf,perm_importance_std_log_gdp_per_capita_ppp,0.11008251278425688,,,2.0
rf,perm_importance_std_enrol_secondary,0.05980992810360505,,,3.0
rf,perm_importance_std_agri_value_added_gdp,0.038272031664904844,,,4.0
rf,perm_importance_std_gov_expenditure_gdp,0.07796604332950205,,,5.0
rf,perm_importance_std_log_population,0.07045809178441513,,,6.0
rf,perm_importance_std_trade_openness,0.0968557077258754,,,7.0
rf,perm_importance_std_urban_population_pct,0.04675241686396698,,,8.0
rf,perm_importance_std_services_value_added_gdp,0.04233986942813185,,,9.0
rf,perm_importance_std_unemployment_rate,0.01735483124503241,,,10.0
rf,perm_importance_std_manu_value_added_gdp,0.028104329416704158,,,11.0
rf,perm_importance_std_inflation_cpi,0.01531952023616465,,,12.0
rf,perm_importance_std_cluster_kmeans_k3,0.01898734185673744,,,13.0
