model,metric,value,split,n,rank_by_gain
xgb,best_subsample,1.0,,,
xgb,best_reg_lambda,5,,,
xgb,best_reg_alpha,1.0,,,
xgb,best_n_estimators,1000,,,
xgb,best_max_depth,5,,,
xgb,best_learning_rate,0.05,,,
xgb,best_colsample_bytree,0.6,,,
xgb,tss_cv_rmse_best,3.9406899419980617,tss_cv,1325.0,
xgb,rkf_cv_rmse_mean,3.345447800238439,rkf_cv,1325.0,
xgb,rkf_cv_rmse_std,0.1478613386222786,rkf_cv,1325.0,
xgb,rmse,0.30984136029769066,train,1325.0,
xgb,mae,0.2230833031996242,train,1325.0,
xgb,r2,0.9986755840324034,train,1325.0,
xgb,rmse,3.387178750605781,test,317.0,
xgb,mae,2.41618851502235,test,317.0,
xgb,r2,0.7334176959598511,test,317.0,
xgb,gain_importance_mean_years_schooling,0.20135048031806946,,,1.0
xgb,gain_importance_cluster_kmeans_k3,0.19862717390060425,,,2.0
xgb,gain_importance_enrol_secondary,0.10459499806165695,,,3.0
xgb,gain_importance_log_gdp_per_capita_ppp,0.08672790229320526,,,4.0
xgb,gain_importance_agri_value_added_gdp,0.06645270437002182,,,5.0
xgb,gain_importance_log_population,0.06516902148723602,,,6.0
xgb,gain_importance_trade_openness,0.05935734137892723,,,7.0
xgb,gain_importance_urban_population_pct,0.05328308418393135,,,8.0
xgb,gain_importance_services_value_added_gdp,0.044770386070013046,,,9.0
xgb,gain_importance_gov_expenditure_gdp,0.037183329463005066,,,10.0
xgb,gain_importance_unemployment_rate,0.03335968032479286,,,11.0
xgb,gain_importance_manu_value_added_gdp,0.03209597244858742,,,12.0
xgb,gain_importance_inflation_cpi,0.017027923837304115,,,13.0
xgb,perm_importance_mean_mean_years_schooling,1.0208251742537724,,,1.0
xgb,perm_importance_mean_cluster_kmeans_k3,0.6034051870476553,,,2.0
xgb,perm_importance_mean_enrol_secondary,0.3479810259972398,,,3.0
xgb,perm_importance_mean_log_gdp_per_capita_ppp,0.9151147898999514,,,4.0
xgb,perm_importance_mean_agri_value_added_gdp,0.7830899889988588,,,5.0
xgb,perm_importance_mean_log_population,0.5839346434966098,,,6.0
xgb,perm_importance_mean_trade_openness,0.9582975747382884,,,7.0
xgb,perm_importance_mean_urban_population_pct,0.5312094029654788,,,8.0
xgb,perm_importance_mean_services_value_added_gdp,0.542318826167481,,,9.0
xgb,perm_importance_mean_gov_expenditure_gdp,0.3900723681853495,,,10.0
xgb,perm_importance_mean_unemployment_rate,0.2107446008900838,,,11.0
xgb,perm_importance_mean_manu_value_added_gdp,0.2537314489399029,,,12.0
xgb,perm_importance_mean_inflation_cpi,-0.015406260491366019,,,13.0
xgb,perm_importance_std_mean_years_schooling,0.09823858679752037,,,1.0
xgb,perm_importance_std_cluster_kmeans_k3,0.04348325775495332,,,2.0
xgb,perm_importance_std_enrol_secondary,0.049815857671367,,,3.0
xgb,perm_importance_std_log_gdp_per_capita_ppp,0.14345550017775346,,,4.0
xgb,perm_importance_std_agri_value_added_gdp,0.041479826771620425,,,5.0
xgb,perm_importance_std_log_population,0.11361751576223644,,,6.0
xgb,perm_importance_std_trade_openness,0.1128332333147452,,,7.0
xgb,perm_importance_std_urban_population_pct,0.07772523085875957,,,8.0
xgb,perm_importance_std_services_value_added_gdp,0.04121097463194915,,,9.0
xgb,perm_importance_std_gov_expenditure_gdp,0.09672097846018753,,,10.0
xgb,perm_importance_std_unemployment_rate,0.03782108552474962,,,11.0
xgb,perm_importance_std_manu_value_added_gdp,0.041881643420846514,,,12.0
xgb,perm_importance_std_inflation_cpi,0.023818611258590274,,,13.0
