rank,model,feature,mean_abs_shap,mean_signed_shap
1,rf,mean_years_schooling,2.4758496229536773,-1.1298170806043042
2,rf,log_gdp_per_capita_ppp,1.3130443683078707,-0.46665946580125883
3,rf,enrol_secondary,1.1626991936587394,-0.649505683071952
4,rf,trade_openness,0.9578559577089915,0.02423961452769878
5,rf,gov_expenditure_gdp,0.8191167361050155,-0.14147783342836676
6,rf,agri_value_added_gdp,0.5915134991977528,0.14399357337108487
7,rf,services_value_added_gdp,0.45142660512156907,0.20011782148765414
8,rf,urban_population_pct,0.3889030551858936,0.0932829550562407
9,rf,log_population,0.30821485774419227,0.06833354907315956
10,rf,manu_value_added_gdp,0.1998898048215687,0.03529796110075566
11,rf,unemployment_rate,0.1845686194869286,-0.08122553864297173
12,rf,inflation_cpi,0.13235321661922006,0.04164359881636708
13,rf,cluster_kmeans_k3,0.1259020515182451,-0.00895407660320532
1,xgb,mean_years_schooling,2.4806272983551025,-1.059852123260498
2,xgb,log_gdp_per_capita_ppp,1.6063928604125977,-0.7184137105941772
3,xgb,enrol_secondary,1.4351943731307983,-0.8576098084449768
4,xgb,trade_openness,1.1248281002044678,0.0016400685999542475
5,xgb,gov_expenditure_gdp,0.9187341928482056,-0.015237096697092056
6,xgb,services_value_added_gdp,0.6998049020767212,0.20123964548110962
7,xgb,urban_population_pct,0.5968693494796753,-0.01855807937681675
8,xgb,agri_value_added_gdp,0.5775770545005798,0.22074565291404724
9,xgb,cluster_kmeans_k3,0.4715632498264313,0.005590618122369051
10,xgb,log_population,0.4479895234107971,0.10260831564664841
11,xgb,manu_value_added_gdp,0.28299078345298767,0.052412744611501694
12,xgb,unemployment_rate,0.24292783439159393,-0.09048032015562057
13,xgb,inflation_cpi,0.19819022715091705,0.003299491247162223
