model,cluster,n,feature,mean_abs_shap,mean_signed_shap
rf,all,317,mean_years_schooling,2.4758496229536773,-1.1298170806043046
rf,all,317,enrol_secondary,1.162699193658741,-0.6495056830719524
rf,all,317,log_gdp_per_capita_ppp,1.3130443683078699,-0.4666594658012582
rf,all,317,log_population,0.30821485774419227,0.06833354907315947
rf,all,317,urban_population_pct,0.38890305518589374,0.09328295505624068
rf,all,317,agri_value_added_gdp,0.5915134991977528,0.14399357337108484
rf,all,317,manu_value_added_gdp,0.19988980482156887,0.03529796110075563
rf,all,317,services_value_added_gdp,0.4514266051215689,0.20011782148765406
rf,all,317,trade_openness,0.9578559577089913,0.024239614527698777
rf,all,317,gov_expenditure_gdp,0.8191167361050157,-0.14147783342836676
rf,all,317,inflation_cpi,0.13235321661922003,0.041643598816367075
rf,all,317,unemployment_rate,0.18456861948692874,-0.0812255386429717
rf,all,317,cluster_kmeans_k3,0.12590205151824505,-0.008954076603205323
rf,0,17,mean_years_schooling,2.45221089353921,2.45221089353921
rf,0,17,enrol_secondary,1.470353013697111,1.3332179779743478
rf,0,17,log_gdp_per_capita_ppp,0.8555908887488003,0.8555908887488003
rf,0,17,log_population,0.6834227859874029,0.18477619066721107
rf,0,17,urban_population_pct,0.643839267769249,-0.49401989033935934
rf,0,17,agri_value_added_gdp,1.1202060629949788,-1.011785653493316
rf,0,17,manu_value_added_gdp,0.20850664828826493,0.01926975135971992
rf,0,17,services_value_added_gdp,0.43305586034233945,0.010665234105730526
rf,0,17,trade_openness,0.5927514501783764,0.4472061320701794
rf,0,17,gov_expenditure_gdp,0.4685055298583521,0.13568710125875338
rf,0,17,inflation_cpi,0.14015911962627847,0.10546982638164921
rf,0,17,unemployment_rate,0.156247100380473,-0.00508761658102001
rf,0,17,cluster_kmeans_k3,0.5825300772950522,-0.5825300772950522
rf,1,105,mean_years_schooling,2.7686946250481137,-0.3921888409512458
rf,1,105,enrol_secondary,1.1131178429459399,-0.09921581304115766
rf,1,105,log_gdp_per_capita_ppp,0.9282878678756635,0.7016510195937561
rf,1,105,log_population,0.32058497128624586,-0.024125551102145548
rf,1,105,urban_population_pct,0.5486016561416983,0.01850549788954806
rf,1,105,agri_value_added_gdp,0.6170738739710887,0.5032445741784574
rf,1,105,manu_value_added_gdp,0.1738315451449093,-0.023771179934704935
rf,1,105,services_value_added_gdp,0.41339824486378446,-0.07812297923896447
rf,1,105,trade_openness,0.8477421217382141,0.18074465500867146
rf,1,105,gov_expenditure_gdp,0.7999309324959472,0.3355018907357497
rf,1,105,inflation_cpi,0.16557422693366275,0.025429672581475583
rf,1,105,unemployment_rate,0.17854970924150193,-0.08242194121317042
rf,1,105,cluster_kmeans_k3,0.10274142445763992,-0.06959612469732343
