check,subgroup,model,metric,feature,value
feature_set,spec_a_5_features,rf,test_rmse,,4.002094482321205
feature_set,spec_a_5_features,rf,test_mae,,2.8655085173501575
feature_set,spec_a_5_features,rf,test_r2,,0.6278399429825966
feature_set,spec_a_5_features,rf,test_n,,317.0
feature_set,spec_a_5_features,rf,mean_abs_shap,mean_years_schooling,2.9907545046330584
feature_set,spec_a_5_features,rf,mean_signed_shap,mean_years_schooling,-1.0843466557773729
feature_set,spec_a_5_features,rf,shap_rank,mean_years_schooling,1.0
feature_set,spec_a_5_features,rf,mean_abs_shap,log_gdp_per_capita_ppp,1.895971425606343
feature_set,spec_a_5_features,rf,mean_signed_shap,log_gdp_per_capita_ppp,-0.6370916858345073
feature_set,spec_a_5_features,rf,shap_rank,log_gdp_per_capita_ppp,2.0
feature_set,spec_a_5_features,rf,mean_abs_shap,enrol_secondary,1.2845941124456772
feature_set,spec_a_5_features,rf,mean_signed_shap,enrol_secondary,-0.6791187586185501
feature_set,spec_a_5_features,rf,shap_rank,enrol_secondary,3.0
feature_set,spec_a_5_features,rf,mean_abs_shap,urban_population_pct,0.9961716587457576
feature_set,spec_a_5_features,rf,mean_signed_shap,urban_population_pct,0.2267716651862969
feature_set,spec_a_5_features,rf,shap_rank,urban_population_pct,4.0
feature_set,spec_a_5_features,rf,mean_abs_shap,log_population,0.7837657943616949
feature_set,spec_a_5_features,rf,mean_signed_shap,log_population,0.11036029701658766
feature_set,spec_a_5_features,rf,shap_rank,log_population,5.0
feature_set,spec_a_5_features,xgb,test_rmse,,3.8038460753248855
feature_set,spec_a_5_features,xgb,test_mae,,2.7410259547669806
feature_set,spec_a_5_features,xgb,test_r2,,0.6637974878456838
feature_set,spec_a_5_features,xgb,test_n,,317.0
feature_set,spec_a_5_features,xgb,mean_abs_shap,mean_years_schooling,3.097745656967163
feature_set,spec_a_5_features,xgb,mean_signed_shap,mean_years_schooling,-1.1430597305297852
feature_set,spec_a_5_features,xgb,shap_rank,mean_years_schooling,1.0
feature_set,spec_a_5_features,xgb,mean_abs_shap,log_gdp_per_capita_ppp,1.7888882160186768
feature_set,spec_a_5_features,xgb,mean_signed_shap,log_gdp_per_capita_ppp,-0.9045759439468384
feature_set,spec_a_5_features,xgb,shap_rank,log_gdp_per_capita_ppp,2.0
feature_set,spec_a_5_features,xgb,mean_abs_shap,log_population,1.2538396120071411
feature_set,spec_a_5_features,xgb,mean_signed_shap,log_population,0.09931235760450363
feature_set,spec_a_5_features,xgb,shap_rank,log_population,3.0
feature_set,spec_a_5_features,xgb,mean_abs_shap,urban_population_pct,1.1970700025558472
feature_set,spec_a_5_features,xgb,mean_signed_shap,urban_population_pct,0.2342948019504547
feature_set,spec_a_5_features,xgb,shap_rank,urban_population_pct,4.0
feature_set,spec_a_5_features,xgb,mean_abs_shap,enrol_secondary,1.0158977508544922
feature_set,spec_a_5_features,xgb,mean_signed_shap,enrol_secondary,-0.49324777722358704
feature_set,spec_a_5_features,xgb,shap_rank,enrol_secondary,5.0
boundary_holdout,BRA,rf,test_rmse,,12.62189811872379
boundary_holdout,BRA,rf,test_mae,,12.540010955710926
boundary_holdout,BRA,rf,test_r2,,-86.70150030233218
boundary_holdout,BRA,rf,test_n,,11.0
boundary_holdout,BRA,xgb,test_rmse,,13.582804733471509
boundary_holdout,BRA,xgb,test_mae,,13.49662926413796
boundary_holdout,BRA,xgb,test_r2,,-100.5632516639742
boundary_holdout,BRA,xgb,test_n,,11.0
boundary_holdout,BRA,rf,mys_mean_signed_shap,mean_years_schooling,2.125671085741733
boundary_holdout,BRA,xgb,mys_mean_signed_shap,mean_years_schooling,1.6221181154251099
boundary_holdout,ZAF,rf,test_rmse,,21.344344942293954
boundary_holdout,ZAF,rf,test_mae,,21.076764099914417
boundary_holdout,ZAF,rf,test_r2,,-37.03464250959548
boundary_holdout,ZAF,rf,test_n,,6.0
boundary_holdout,ZAF,xgb,test_rmse,,20.163689406910652
boundary_holdout,ZAF,xgb,test_mae,,19.681488418579097
boundary_holdout,ZAF,xgb,test_r2,,-32.94326972459124
boundary_holdout,ZAF,xgb,test_n,,6.0
boundary_holdout,ZAF,rf,mys_mean_signed_shap,mean_years_schooling,0.5446141509930676
boundary_holdout,ZAF,xgb,mys_mean_signed_shap,mean_years_schooling,0.5829171538352966
boundary_holdout,MEX,rf,test_rmse,,8.38003301488617
boundary_holdout,MEX,rf,test_mae,,8.062240867850097
boundary_holdout,MEX,rf,test_r2,,-8.63641591522142
boundary_holdout,MEX,rf,test_n,,13.0
boundary_holdout,MEX,xgb,test_rmse,,9.425826975536019
boundary_holdout,MEX,xgb,test_mae,,9.073580110990084
boundary_holdout,MEX,xgb,test_r2,,-11.191664524589138
boundary_holdout,MEX,xgb,test_n,,13.0
boundary_holdout,MEX,rf,mys_mean_signed_shap,mean_years_schooling,2.4583196179336855
boundary_holdout,MEX,xgb,mys_mean_signed_shap,mean_years_schooling,2.327845573425293
boundary_holdout,ARG,rf,test_rmse,,4.976531481908216
boundary_holdout,ARG,rf,test_mae,,4.294969458128072
boundary_holdout,ARG,rf,test_r2,,-0.6277619359203468
boundary_holdout,ARG,rf,test_n,,29.0
boundary_holdout,ARG,xgb,test_rmse,,4.07366807273717
boundary_holdout,ARG,xgb,test_mae,,2.9619913824673354
boundary_holdout,ARG,xgb,test_r2,,-0.0907083943085556
boundary_holdout,ARG,xgb,test_n,,29.0
boundary_holdout,ARG,rf,mys_mean_signed_shap,mean_years_schooling,-0.4788858517371994
boundary_holdout,ARG,xgb,mys_mean_signed_shap,mean_years_schooling,0.02101084217429161
boundary_holdout,all_4_countries,rf,test_rmse,,10.182284628280318
boundary_holdout,all_4_countries,rf,test_mae,,8.36888052000122
boundary_holdout,all_4_countries,rf,test_r2,,-2.401350237890762
boundary_holdout,all_4_countries,rf,test_n,,59.0
boundary_holdout,all_4_countries,xgb,test_rmse,,10.172340206540063
boundary_holdout,all_4_countries,xgb,test_mae,,7.9729854907019675
boundary_holdout,all_4_countries,xgb,test_r2,,-2.39470969594305
boundary_holdout,all_4_countries,xgb,test_n,,59.0
boundary_holdout,all_4_countries,rf,mys_mean_signed_shap,mean_years_schooling,0.7579751217267219
boundary_holdout,all_4_countries,xgb,mys_mean_signed_shap,mean_years_schooling,0.8849509954452515
